"Iteration"	"sampleSize"	"movieName"	"grain"	"testCond"	"minCorrelation"	"maxCorrelation"	"actCorrelation"	"agreementIndex"
1	16	"w_dishes.mp4"	"c"	"sample"	-0.101597499067182	0.630985598436248	0.223307224707665	0.442637407700057
1	16	"w_dishes.mp4"	"c"	"random"	-0.152268807057921	0.437310889110812	-0.0216090679234226	0.218164616177913
1	16	"w_dishes.mp4"	"c"	"crossMov"	-0.0960914439189648	0.627487683605261	0.0256071163012998	0.176634304567346
1	16	"w_dishes.mp4"	"f"	"sample"	-0.631580782488943	0.761887888081316	0.394946066721882	0.724545230648942
1	16	"w_dishes.mp4"	"f"	"random"	-0.684576860288581	0.701494305686491	0.00177485089537989	0.494712038002096
1	16	"w_dishes.mp4"	"f"	"crossMov"	-0.583867534803676	0.764147347240184	0.0352842548467543	0.451814842885272
1	18	"w_dishes.mp4"	"c"	"sample"	-0.128478103162101	0.569009740861931	0.234761611518041	0.481555147791935
1	18	"w_dishes.mp4"	"c"	"random"	-0.215098764849172	0.450583372637677	-0.025301369429951	0.272928497242918
1	18	"w_dishes.mp4"	"c"	"crossMov"	-0.113402492466451	0.63220010992617	-0.00243543914489366	0.138003618098813
1	18	"w_dishes.mp4"	"f"	"sample"	-0.652712034541766	0.744674659965019	0.417290725805465	0.756360600598403
1	18	"w_dishes.mp4"	"f"	"random"	-0.686766309845509	0.715602342380559	-0.0101417356202858	0.483514540000178
